date,actual,predicted,error
2025-02-20,514.0544227285801,519.2220044713471,-5.16758174276697
2025-02-21,531.8686521167788,530.4249385795553,1.4437135372235161
2025-02-22,491.66435132477335,498.4038318165805,-6.739480491807171
2025-02-23,527.540822332056,543.3942937468074,-15.853471414751425
2025-02-24,521.4648191791912,519.0227074089262,2.442111770265001
2025-02-25,518.683403532432,516.2414592271493,2.441944305282618
2025-02-26,523.4727443357684,539.9111807254588,-16.438436389690423
2025-02-27,503.36156465707865,511.34784236973593,-7.986277712657284
2025-02-28,521.5230303237554,516.6307852119842,4.892245111771217
2025-03-01,527.575663505053,533.220603911766,-5.64494040671309
2025-03-02,538.874450457415,534.0452885665798,4.82916189083528
2025-03-03,518.8157906721648,513.9625308296338,4.853259842530974
2025-03-04,515.6362556159797,518.1513940906768,-2.515138474697096
2025-03-05,518.2555426031412,498.3305644578304,19.924978145310774
2025-03-06,531.8194912243906,513.8557362833673,17.963754941023353
2025-03-07,525.1985810914989,519.3399815435143,5.858599547984568
2025-03-08,515.7265845167941,505.1769687008925,10.549615815901632
2025-03-09,525.1530914602913,528.4208649858047,-3.2677735255133484
