date,actual,predicted,error
2025-02-20,380.5524066225167,384.93173886832665,-4.379332245809962
2025-02-21,363.3827973958789,362.16485588434176,1.2179415115371626
2025-02-22,380.7396038255408,386.44976173473196,-5.710157909191139
2025-02-23,395.5623284941963,408.9885379539292,-13.426209459732888
2025-02-24,399.9581223884146,397.8949175195641,2.063204868850505
2025-02-25,391.6506902610535,389.58763232630866,2.0630579347448474
2025-02-26,422.7505183506017,436.67196833193753,-13.921449981335854
2025-02-27,422.08001953616207,428.84571840670617,-6.7656988705440995
2025-02-28,458.1859379301875,454.04838386573675,4.13755406445074
2025-03-01,472.07451020892313,476.8579455040765,-4.783435295153367
2025-03-02,470.6835898576099,466.5994216727351,4.084168184874784
2025-03-03,493.87046573622285,489.7659107659706,4.104554970252252
2025-03-04,498.1759973824858,500.30968322640604,-2.1336858439202615
2025-03-05,497.1796972174237,480.31511314221945,16.864584075204277
2025-03-06,489.9312411215116,474.72705680779836,15.204184313713256
2025-03-07,473.9023223188349,468.94662450362296,4.95569781521192
2025-03-08,456.698717212294,447.77152248551846,8.927194726775554
2025-03-09,466.0406086670983,468.811489424548,-2.7708807574496745
